# CSV file produced by Simufact Forming 2022
# Date of creation: 15.01.2025 17:24:10
#
# Units in this file
# Size of dimension one: - [-]
# Force: Kilonewton [kN]
# Length: Millimeter [mm]
# Velocity: Millimeters per second [mm/s]
# Temperature: Degrees Celsius [¡ÆC]
# Time: Second [s]
# Density: Kilograms per cubic meter [kg/m©ø]
# Stress: Megapascal [MPa]
# Heat transfer coefficient: W/(m©÷¡¤K) [W/(m©÷¡¤K)]
# Strain rate: 1/s [1/s]
# Temperature gradient: Kelvin per meter [K/m]
Increment; Time [s]; Stroke [mm]; PointID; x [mm]; y [mm]; z [mm]; Effective plastic strain [-]; Equivalent stress [MPa]; Equivalent stress [MPa]; Temperature [¡ÆC]; Contact [-]; Effective plastic strain rate [1/s]; Contact pressure [MPa]; Contact pressure [MPa]; Material flow (absolute value) [mm/s]; Flow defects [-]; Flow defects zones [-]; Element density [kg/m©ø]; Flow stress [MPa]; X temperature gradient [K/m]; Y temperature gradient [K/m]; Z temperature gradient [K/m]; Temperature gradient [K/m]; Total displacement [mm]; Total displacement [mm]; X displacement [mm]; Y displacement [mm]; Z displacement [mm]; Axial displacement [mm]; Radial displacement [mm]; Tangential displacement [mm]; X velocity [mm/s]; Y velocity [mm/s]; Z velocity [mm/s]; Radial velocity [mm/s]; Tangential velocity [mm/s]; Total displacement normal direction [mm]; Total displacement normal direction [mm]; Equivalent elastic strain [-]; Maximum principal plastic strain [-]; Intermediate principal plastic strain [-]; Minimum principal plastic strain [-]; X plastic strain [-]; Y plastic strain [-]; Z plastic strain [-]; XY plastic strain [-]; YZ plastic strain [-]; ZX plastic strain [-]; Axial plastic strain [-]; Radial plastic strain [-]; Tangential plastic strain [-]; X thermal strain [-]; Y thermal strain [-]; Z thermal strain [-]; Maximum principal stress [MPa]; Intermediate principal stress [MPa]; Minimum principal stress [MPa]; Mean normal stress [MPa]; Mean normal stress [MPa]; Triaxiality [-]; Stress vector (absolute value) [MPa]; X stress [MPa]; Y stress [MPa]; Z stress [MPa]; XY shear stress [MPa]; YZ shear stress [MPa]; ZX shear stress [MPa]; Axial stress [MPa]; Radial stress [MPa]; Tangential stress [MPa]; Friction ratio [-]; Friction stress [MPa]; Friction stress [MPa]; X friction stress [MPa]; Y friction stress [MPa]; Z friction stress [MPa]; Radial friction stress [MPa]; Tangential friction stress [MPa]; X contact pressure [MPa]; Y contact pressure [MPa]; Z contact pressure [MPa]; Radial contact pressure [MPa]; Tangential contact pressure [MPa]; X nodal reaction force [kN]; Y nodal reaction force [kN]; Z nodal reaction force [kN]; Grain size in m-6 [-]; ASTM grain size number [-]; Contact heat transfer coefficient [W/(m©÷¡¤K)]; Arc Displacement X [mm]; Surface normal y [-]; Surface normal vector (absolute value) [-]; Die Life (Nf) [-]; Die Life cycle [-]; VOID [-]; Surface normal z [-]; Surface normal x [-]; Arc Displacement Z [mm]; Arc Displacement Y [mm]
-1;0;0;1;50.7263;8.43376e-82;30.3;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;2;48.7402;1.68675e-81;30.3347;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;3;48.9706;0;28.2532;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;4;51.2143;0;28.0223;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;5;31.3192;0;29.6625;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;6;33.562;0;29.687;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;7;31.4632;0;27.3364;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;8;33.6936;0;27.5451;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;9;31.0888;0;-0.122334;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
-1;0;0;10;33.1471;0;-0.0689805;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
