Title not available																
(2848 17)																
Time (sec)	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16
6	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
7	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
8	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
9	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
11	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
12	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
13	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
14	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
15	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
16	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
17	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
18	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
19	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
20	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
21	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
22	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
23	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
24	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
25	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
26	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
27	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
28	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
29	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
30	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
31	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
32	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
33	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
34	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
35	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
36	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
37	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
38	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
39	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
40	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
41	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
42	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
43	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
44	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
45	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
46	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
47	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
48	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
49	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
50	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
51	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
52	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10	0.01	0.1	1	10
