Title not available																
(2848 17)																
Time (sec)	P1	P2	P3	P4	P5	P6	P7	P8	P9	P10	P11	P12	P13	P14	P15	P16
6	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
7	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
8	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
9	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
10	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
11	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
12	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
13	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
14	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
15	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
16	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
17	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
18	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
19	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
20	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
21	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
22	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
23	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
24	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
25	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
26	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
27	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
28	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
29	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
30	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
31	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
32	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
33	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
34	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
35	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
36	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
37	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
38	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
39	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
40	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
41	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
42	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
43	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
44	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
45	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
46	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
47	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
48	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
49	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
50	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
51	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
52	900	900	900	900	1000	1000	1000	1000	1100	1100	1100	1100	1150	1150	1150	1150
