
* Step -1
ELMCON       1   50907       4
       1    9308    9560    9559    9462
       2    2927    3562    2925    3561
       3     224     221     239     253
       4     175     221     224     253
       5    4193    3563    3562    3827
       6    9602    9379    9559    9465
       7    6427    6218    6212    6578
       8    2960    3665    3437    3438
       9     175     193     221     252
      10    2656    2960    3437    3438
      11    3566    3562    2927    3561
      12    5907    5900    6218    6217
      13    3563    2925    3562    3560
      14    6427    6212    6214    6578
      15    2656    3437    2657    2871
      16    6214    6212    5899    6213
      17    9234    9308    9559    9462
      18    3437    3765    3440    3439
      19    3823    3813    3887    4359
      20   10546   10687   10549   10640
      21    9460    9560    9308    9462
      22    7139    7138    7137    7508
      23    2598    2925    2496    3069
      24    3437    3440    2657    3439
      25    2598    2955    2927    3268
      26    8307    8267    8269    8475
      27    4193    3562    3888    3827
      28     175     174     193     252
      29    3553    2923    3551    3552
      30    4202    4600    4416    4787
      31    9392    9602    9669    9668
      32   10872   10876   10873   10963
      33    9392    9379    9602    9465
      34    8267    8266    8265    8472
      35    5369    5262    5825    5481
      36    6555    7034    7041    7040
      37    7740    7745    7640    7739
      38    7034    7574    7041    7040
      39    5370    5266    5369    5774
      40    3685    4314    4573    4539
      41    3259    3447    2874    3446
      42   10070    9975   10060   10270
      43    2957    3661    3659    3660
      44    4648    4416    4600    4787
      45    8114    8308    8147    8148
      46    9656    9564    9391    9657
      47    6229    5907    6218    6217
      48    7742    7640    7745    8019
      49    4407    4644    4555    4850
      50    3665    4204    3765    4203
      51    5809    6214    5899    6213
      52    2121    2596    2598    2597
      53    4204    4600    4202    4787
      54    9937   10006   10058   10005
      55    1387    1713    1712    1711
      56    7780    8072    8111    8112
      57    3821    3813    3823    4359
      58    9367    9391    9564    9567
      59    3823    3887    4373    4359
      60    7780    7762    8072    8069
      61    6355    6424    6354    6573
      62   10686   10687   10546   10640
      63    5333    5724    5722    5723
      64    6527    6509    6528    6902
      65    4193    4194    3563    4195
      66    5724    5907    5908    6075
      67    4555    4655    4556    5115
      68    8264    8267    8265    8472
      69    7043    7574    7034    7264
      70    3698    3702    3402    3980
      71    8352    8308    8114    8148
      72    9234    9559    9379    9465
      73    5790    5893    5791    5789
      74    6447    6354    6424    6573
      75    8267    8268    8269    8475
      76    6398    6518    6687    6686
      77    5369    5102    5262    5481
      78    1608    1713    1387    1711
      79     938    1292    1296    1297
      80    2143    2647    2644    2648
      81    5717    5724    5333    5723
      82    3822    3823    4372    4371
      83   10326   10506   10502   10501
      84   10546   10549   10442   10640
      85    5262    4573    5107    5104
      86    1345    1346    1390    1577
      87   10972   11002   10989   11051
      88     679     796     797     991
      89    2714    2874    2876    3057
      90    4449    4635    4602    4906
      91    6518    6939    6687    6938
      92    5717    5900    5724    6069
      93    1197    1346    1345    1577
      94    8861    8864    8866    9038
      95    8867    8869    8905    8906
      96    9684    9560    9608    9735
      97    2795    2718    2719    3074
      98    4635    4676    4602    4906
      99    5809    5899    5701    6062
     100   10271   10070   10316   10315
     101    3764    3765    4202    4143
     102    1292    1369    1296    1297
     103    3823    4373    4372    4371
     104    1851    1454    1508    1850
     105    4639    5076    4640    5069
     106    3447    2876    2874    3446
     107    1182     905     920    1181
     108    4190    4407    4555    4850
     109     822     877     823    1029
     110     817     807     806    1015
     111    8905    8913    8910    9186
     112     224     239     267     253
     113    5809    6216    6214    6215
     114    2928    2960    2656    3436
     115   10486   10479   10318   10485
     116    6509    6404    6528    6902
     117    7176    7139    7137    7508
     118    2469    2092    1958    2468
     119    5917    5653    5878    5982
     120    8886    8757    9095    9093
     121    2471    2827    2858    2826
     122    3757    3553    3551    3945
     123   10361   10484   10316   10483
     124    6555    6420    7034    6669
     125    1404    1422    1421    1762
     126    6427    6214    6493    6580
     127    5917    5878    5926    5982
     128   11072   11121   11122   11109
     129    3822    3821    3823    4371
     130    2695    2632    3327    2694
     131    8559    8149    8308    8484
     132     929     854     910    1088
     133    8307    8269    8306    8475
     134    3625    3628    4314    4290
     135    5262    5102    4573    5104
     136    5320    5079    5309    5410
     137    4190    3661    4407    4406
     138    5371    5859    5858    5834
     139    2471    2092    2469    2468
     140    5869    5373    5792    5868
     141   10486   10567   10479   10485
     142    9392    9669    9570    9668
     143    2598    2596    2955    3268
     144    5369    5825    5850    5849
     145    5869    6192    6398    6193
     146    3730    3728    3733    4095
     147    5250    5266    5770    5769
     148     239     265     319     317
     149    7740    7640    7392    7739
     150   10278   10432   10363   10343
     151   10291   10316   10070   10315
     152     802     846     892    1004
     153    4414    3843    4416    4415
     154    9658    9656    9391    9657
     155    6448    6424    6335    6574
     156    3727    3733    3728    4094
     157     803     846     802    1004
     158    7780    8111    7925    8112
     159    1418    1390    1346    1577
     160   10872   10873   10861   10963
     161    7137    7138    7509    7508
