
* Step 84
ELMCON       1   37746       4
       1    3574    3850    3566    3761
       2    3874    4158    3850    3961
       3    3849    3566    3850    3761
       4    4672    4653    4652    4818
       5     363     362     354     459
       6     514     363     354     459
       7    4158    3849    3850    3961
       8     514     354     458     459
       9    4652    4651    4526    4726
      10    3574    3841    3874    3875
      11    3574    3566    3561    3761
      12    3874    4159    4158    3961
      13     514     458     640     578
      14    3024    3023    3116    2949
      15    4672    4652    4615    4817
      16    3331    3116    3167    3141
      17    4651    4491    4526    4525
      18    1671    1712    1985    1711
      19    3849    3565    3566    3761
      20     514     537     363     536
      21    3116    3330    3167    3200
      22    1671    1628    1712    1711
      23    4159    4443    4158    4197
      24    4328    4158    4443    4197
      25     514     744     749     745
      26     514     640     744     578
      27     749     744     880     745
      28    3116    3023    3330    3200
      29    4867    4925    4902    4901
      30    2762    3023    3024    2949
      31    1856    1628    1671    1711
      32    1822    1544    1543    1818
      33    1986    1671    1985    1711
      34    3841    4159    3874    3875
      35    4672    4615    4867    4817
      36    2762    2763    2665    2675
      37    1816    2042    1822    1817
      38     363     535     362     459
      39    3561    3566    3565    3761
      40    1628    1486    1712    1711
      41    3024    3116    3331    3141
      42    1816    2150    2042    2147
      43    4328    4443    4524    4500
      44    2665    2624    2401    2407
      45    2665    2763    2624    2675
      46    2921    3023    2762    2920
      47    1816    1822    1543    1817
      48    1986    1856    1671    1711
      49    3942    3941    4102    4101
      50     537     535     363     536
      51     640     406     407     457
      52    1821    1544    1822    1818
      53     749     824     537     750
      54    3942    3940    3941    4101
      55    2208    1822    2042    2206
      56    2921    2762    2665    2920
      57     406     318     262     337
      58     749     880    1058     961
      59     744     954     880     743
      60    1628    1487    1486    1711
      61     744     640     954     743
      62    4526    4305    4615    4513
      63     318     362     256     337
      64    3448    3449    3078    3445
      65    3078    3449    3447    3444
      66    1712    1486    1471    1711
      67    4196    3849    4158    3961
      68    4159    4444    4443    4442
      69    3331    3167    3495    3422
      70    3130    3381    3380    3375
      71    4196    4158    4328    4197
      72    1816    2001    2150    2147
      73    4466    4244    4316    4393
      74    3849    3848    3565    3761
      75     749    1058     824     961
      76    4081    3808    4082    3811
      77    3741    3449    3448    3445
      78    3495    3167    3330    3422
      79    1988    2045    1987    2072
      80    1988    2044    2045    2296
      81    4159    3981    4234    4157
      82    3741    3447    3449    3735
      83    2053    1985    1712    1711
      84    3942    4102    4054    4101
      85    3561    3565    3546    3761
      86    2665    2401    2613    2407
      87    4081    3807    3808    3810
      88    3850    3849    3761    3961
      89    1856    1735    1628    1711
      90    1821    1822    2009    2206
      91    4082    3808    3809    3811
      92     640     407     646     457
      93    2208    2009    1822    2206
      94    1537    1816    1543    1539
      95    3334    3809    3808    3335
      96    3025    3333    3332    3026
      97    3024    3025    2763    2948
      98     880     744     743     745
      99     640     646     954     743
     100    4466    4316    4459    4467
     101     744     640     743     578
     102     954    1058     880    1057
     103    4868    4867    4615    4817
     104    4305    4491    4254    4329
     105    3334    3808    3807    3335
     106    2208    2150    2385    2334
     107     535     401     362     459
     108     318     256     262     337
     109    4102    3941    4000    4101
     110    1628    1735    1487    1711
     111     749     880     961     745
     112    3025    3117    3333    3026
     113    1821    1542    1544    1818
     114    3024    3334    3117    3140
     115    3024    3331    3334    3140
     116    3563    3546    3564    3760
     117    4000    3941    3940    4101
     118    1177    1486    1487    1471
     119    1486    1487    1471    1711
     120    1713    1712    1471    1710
     121    6577    6773    6728    6689
     122    3841    3842    3981    3843
     123    2151    2150    2001    2149
     124    2295    2044    1988    2296
     125     401     256     362     337
     126    3334    3807    3333    3335
     127    4159    4234    4444    4442
     128    2371    2348    2380    2383
     129    2371    2348    2383    2467
     130    7337    7385    7358    7384
     131    1537    1543    1273    1539
     132    6577    6773    6689    6660
     133    7385    7356    7357    7501
     134    2921    2665    2613    2674
     135    4652    4672    4818    4817
     136    2336    2045    2044    2296
     137    4102    4344    4321    4385
     138    3633    3332    3333    3194
     139     354     458     459     338
     140    2371    2468    2348    2467
     141    4196    3848    3849    3961
     142    8141    7953    7995    8111
     143    7995    7953    7919    8111
     144    4102    4345    4344    4385
     145    4183    4459    4316    4186
     146    5045    5088    4925    5087
     147     514     744     745     578
     148    3847    3564    3848    3760
     149    4102    4321    4054    4385
     150    2651    2730    2527    2650
     151    3500    3499    3718    3716
     152     824     749     961     750
     153     514     458     578     459
     154    2348    2349    2383    2467
     155    4083    4082    3809    3811
     156    7766    7732    7598    7734
     157     824    1060     823     962
     158    3874    4159    3961    3875
     159    4155    4234    3981    4156
     160    8293    8167    8166    8286
     161    7882    7765    7766    7817
     162    8008    8007    8166    8104
     163    8008    8166    8167    8104
     164    3847    3563    3564    3760
     165    1889    1727    1869    1997
     166    2371    2592    2468    2467
     167    4250    4254    4491    4329
     168    3457    3085    3084    3275
     169    7951    7995    7919    7949
     170    2792    2592    2624    2623
