
* Step -1
RZ           1    3821
       1    2.7833158110E+001   -3.9439470009E+001   -1.3560989178E+001
       2    2.7850447613E+001   -4.4402515880E+001   -1.3123740681E+001
       3    3.1668641400E+001   -4.1909992900E+001   -1.4000000000E+001
       4    2.7046230418E+001   -4.4981578336E+001   -8.8132208585E+000
       5    2.6288554943E+001   -4.4130782341E+001   -6.6507859207E+000
       6    2.6108790937E+001   -4.3843504200E+001   -5.0135863793E+000
       7    3.0383430152E+001   -3.9507511943E+001   -1.3812995881E+001
       8    2.7635086563E+001   -3.8207126934E+001   -1.1622601937E+001
       9    2.6585023759E+001   -4.1887376300E+001   -1.0456951704E+001
      10    2.9220957800E+001   -4.0688936900E+001   -1.0643299500E+001
      11    3.0283760100E+001   -4.5520455238E+001   -9.0482062356E+000
      12    3.4112080300E+001   -4.5527102475E+001   -8.9849620289E+000
      13    3.5468326704E+001   -4.4363019705E+001   -1.3169626906E+001
      14    2.9276789900E+001   -4.2570570900E+001   -9.1724924000E+000
      15    2.6378783194E+001   -4.2442073100E+001   -8.0996152268E+000
      16    3.5466181300E+001   -3.9241359700E+001   -1.3455919500E+001
      17    3.2701362400E+001   -3.9874580400E+001   -1.0545695600E+001
      18    4.5992359200E+001   -4.7505462600E+001    2.0786983500E+001
      19    4.5828634600E+001   -4.8400396700E+001    1.8433195100E+001
      20    4.5634645100E+001   -4.8228643100E+001    1.9991058500E+001
      21    4.3766030500E+001   -4.8306679100E+001    1.9783726500E+001
      22    4.4675526200E+001   -4.7688248600E+001    2.0635578500E+001
      23    4.5157312300E+001   -4.6979423300E+001    2.1016509200E+001
      24    4.3471609900E+001   -4.7313033700E+001    2.0872720300E+001
      25    4.7379675500E+001   -4.7859341200E+001    1.9348994600E+001
      26    4.6752610200E+001   -4.6595142700E+001    2.0908887700E+001
      27    2.5833238882E+001   -4.4467892078E+001   -1.6736393444E+000
      28    2.5969346314E+001   -4.4417832923E+001   -3.1135745520E+000
      29    2.5945864651E+001   -4.2845020300E+001   -3.1513299868E+000
      30    2.6032077481E+001   -4.2718211900E+001   -4.1367473929E+000
      31    2.8512025500E+001   -4.3214095800E+001   -6.9270759000E+000
      32    2.7656872500E+001   -4.2876188500E+001   -4.9718648000E+000
      33    2.7275602000E+001   -4.3453490200E+001   -3.6218486000E+000
      34    2.6193625584E+001   -4.2169694500E+001   -5.9832529189E+000
      35    2.5814361347E+001   -4.2026771300E+001   -1.6482399959E+000
      36    4.2490509500E+001   -4.7772487300E+001    2.0567655700E+001
      37    4.2797694000E+001   -4.6607786100E+001    2.1067821300E+001
      38    4.4529701400E+001   -4.7158652900E+001    2.0110493800E+001
      39    2.8195782900E+001   -4.5971866688E+001   -4.7533147828E+000
      40    2.5693267447E+001   -4.3422030300E+001   -2.6412997841E-001
      41    2.6507455400E+001   -4.6166597270E+001    3.7833694043E-001
      42    2.5568844887E+001   -4.4782661747E+001    1.3458466601E+000
      43    3.7560041681E+001   -4.5301701183E+001   -7.3759484566E+000
      44    3.2773575500E+001   -4.5973535492E+001   -4.7374371832E+000
      45    3.1569496500E+001   -4.6395635977E+001   -7.2142082368E-001
      46    3.8749068771E+001   -4.5759336656E+001   -3.7430215146E+000
      47    4.1169231300E+001   -4.6748960100E+001    2.1048342400E+001
      48    4.1145002300E+001   -4.7877220400E+001    2.0481474600E+001
      49    4.2460073500E+001   -4.7277953000E+001    1.9413810700E+001
      50    4.4633747800E+001   -4.7264387300E+001    1.8707545100E+001
      51    4.6669225441E+001   -4.7671895897E+001    1.7010600302E+001
      52    2.5647310257E+001   -4.5798465406E+001    3.2143367005E+000
      53    4.5916121669E+001   -4.7701031561E+001    1.5539510610E+001
      54    4.3896311800E+001   -4.8289257245E+001    1.7295175369E+001
      55    4.4418630200E+001   -4.8060621262E+001    1.5119850099E+001
      56    2.6520243877E+001   -3.8455651924E+001   -8.5385244019E+000
      57    2.6119193485E+001   -4.0031788300E+001   -5.1324893275E+000
      58    3.7768003169E+001   -4.2241506300E+001   -9.0221818162E+000
      59    3.7240038211E+001   -3.8036525890E+001   -9.3840700068E+000
      60    3.2105564800E+001   -3.7304182604E+001   -9.3659294989E+000
      61    2.8772319300E+001   -4.0181772400E+001   -6.9837807000E+000
      62    3.3623718800E+001   -4.1410546300E+001   -7.3755466000E+000
      63    4.5806072000E+001   -4.6769581500E+001    2.0148915800E+001
      64    4.7875832300E+001   -4.5306464200E+001    1.8748852500E+001
      65    4.1518608500E+001   -4.8406871900E+001    1.8414234800E+001
      66    4.4240502500E+001   -4.6248285300E+001    2.1090000200E+001
      67    4.6438389500E+001   -4.4920158100E+001    2.1038656200E+001
      68    2.7097505000E+001   -4.3345167100E+001   -8.1855870000E-001
      69    2.9884763500E+001   -4.4156839500E+001   -2.6657770000E-001
      70    2.7161223500E+001   -4.2238405400E+001   -2.3976180000E+000
      71    2.5950463110E+001   -4.0734962800E+001   -3.2038903167E+000
      72    2.8302790300E+001   -4.1452328700E+001   -4.2975914000E+000
      73    3.0357441100E+001   -4.3410113600E+001   -4.3293516000E+000
      74    2.5705452257E+001   -4.1317486100E+001   -4.0340472129E-001
      75    3.9148405614E+001   -4.2673888300E+001   -5.2295572236E+000
      76    3.6766314000E+001   -4.2815751300E+001   -3.1636223000E+000
      77    3.5578133600E+001   -4.6356737084E+001   -1.0915189245E+000
      78    3.2608893600E+001   -4.2861974400E+001   -2.5572032000E+000
      79    4.0312633044E+001   -4.3630772600E+001   -2.0308688437E+000
      80    4.0556012992E+001   -4.5763272834E+001   -6.8067722248E-002
      81    3.7945296700E+001   -4.6635577713E+001    1.5614714515E+000
      82    4.5402710500E+001   -4.6116073800E+001    1.7612653200E+001
      83    4.3488089100E+001   -4.5558065000E+001    1.9211118900E+001
      84    4.1597316300E+001   -4.5270726100E+001    2.1090000200E+001
      85    4.2869911900E+001   -4.6554094200E+001    1.7324779300E+001
      86    4.1116196000E+001   -4.6378512400E+001    1.9167608000E+001
      87    3.9614193300E+001   -4.6292327600E+001    2.1090000200E+001
      88    3.8919468500E+001   -4.8273835600E+001    1.9896612200E+001
      89    4.6756045508E+001   -4.6226425964E+001    1.5691820800E+001
      90    4.5757726073E+001   -4.7019273388E+001    1.3815789845E+001
      91    4.4743048500E+001   -4.6069276300E+001    1.5288139500E+001
      92    4.5888437245E+001   -4.5089793900E+001    1.3288527584E+001
      93    4.2044032900E+001   -4.8154279584E+001    1.6010949186E+001
      94    4.2566622600E+001   -4.6040928000E+001    1.5650726600E+001
      95    4.3754730400E+001   -4.5845994500E+001    1.3801536700E+001
      96    4.5215133829E+001   -4.6838477531E+001    1.2296098330E+001
