
* Step -1
RZ           1   15161
       1    8.0147875000E+001   -2.8715789000E+000    5.2718169500E+001
       2    8.0890565500E+001    5.4910070000E-001    5.0580133200E+001
       3    8.0884611900E+001   -2.7926322000E+000    4.6292776000E+001
       4    8.0208593700E+001    2.2117475200E+001    5.3338842500E+001
       5    7.9682454100E+001    1.2880915000E+000    5.3856421500E+001
       6    7.7000104600E+001    2.6070871000E+000    5.4500000500E+001
       7    8.0937753100E+001    3.0652791800E+001    4.9679767400E+001
       8    7.9315957600E+001   -5.0366021000E+000    4.3483724300E+001
       9    7.9262137000E+001   -4.5485677000E+000    4.9551768600E+001
      10    7.7442805100E+001   -4.2384358000E+000    5.3612318800E+001
      11    7.9963515700E+001   -3.8288217000E+000    3.0902611300E+001
      12    8.0800599000E+001   -2.9504972000E+000    3.4461457800E+001
      13    8.0931076582E+001    2.3378340000E-001    3.1192826685E+001
      14    8.1057521600E+001   -3.3756854000E+000    4.0493781300E+001
      15    8.0228597600E+001   -4.2699444000E+000    3.7452943500E+001
      16    8.0869732300E+001    8.6651050000E+000    5.0977657400E+001
      17    8.0969792900E+001    5.2993575000E+000    4.9068371700E+001
      18    7.8929691700E+001    2.6475157600E+001    5.4179628400E+001
      19    8.0288385500E+001    3.3970679400E+001    4.9643417700E+001
      20    7.8997121300E+001    3.0958957400E+001    5.2919996700E+001
      21    7.7374083900E+001    2.7991367900E+001    5.1967004100E+001
      22    7.9626716100E+001    5.2445987000E+000    5.3901587700E+001
      23    7.9389947000E+001    8.6152842000E+000    5.4060631700E+001
      24    8.0482305200E+001    1.2041664400E+001    5.2874348000E+001
      25    8.0311583100E+001    5.6958303000E+000    2.5324746800E+001
      26    7.8088182617E+001    1.2331387574E+001    1.3178321149E+001
      27    7.5142633600E+001   -5.1860293000E+000    5.1450355300E+001
      28    7.8664582000E+001   -5.1246802000E+000    4.6431503200E+001
      29    7.8889653500E+001    3.6257449800E+001    4.8203861000E+001
      30    7.8084134900E+001    3.7634057700E+001    4.5581573300E+001
      31    7.8596052200E+001   -5.1464494000E+000    3.4462128800E+001
      32    7.8622185900E+001    4.4814983000E+000    2.3436818500E+001
      33    7.5996727500E+001   -2.9745029000E+000    5.0195942800E+001
      34    7.6565031700E+001    5.3442130000E-001    5.0953231800E+001
      35    7.8057582400E+001   -1.6434901000E+000    4.8437681100E+001
      36    7.7882392200E+001    3.8028940000E+000    5.1537452400E+001
      37    8.1043885300E+001    1.6340112000E+000    4.7654593200E+001
      38    7.8107169700E+001    1.5400433000E+000    4.9348820000E+001
      39    7.8671317400E+001   -1.6674989000E+000    4.5062764400E+001
      40    8.1306025000E+001   -1.1123737000E+000    4.2652627400E+001
      41    8.1194244900E+001    1.1286379000E+000    4.4785536600E+001
      42    8.0925844200E+001    2.2570902200E+001    4.9906965500E+001
      43    8.0742107400E+001    2.5326179500E+001    5.2101362200E+001
      44    7.7993876900E+001    2.2381002800E+001    5.1972429800E+001
      45    7.7318715200E+001    2.3855127500E+001    5.4500000000E+001
      46    7.7210190200E+001    2.4931823300E+001    5.1542618500E+001
      47    7.9901612900E+001    1.8680395700E+001    5.3676815600E+001
      48    7.8134790500E+001    2.0201809400E+001    5.1434850100E+001
