
* Step -1
RZ           1   7529 
       1   1.0743509993E+02   9.9945736015E+01   -7.0023580558E-01
       2   1.0380635550E+02   9.7528415200E+01   -7.0000010000E-01
       3   1.0293558270E+02   1.0007539142E+02   -2.9591407053E+00
       4   9.8849177300E+01   1.0698997120E+02   -6.9999998808E-01
       5   9.9724385908E+01   1.0107771653E+02   -7.0002614620E-01
       6   1.0684085257E+02   9.8426868819E+01   -6.6992507724E+00
       7   1.0788732150E+02   9.3980235700E+01   -6.9999998808E-01
       8   1.0289434180E+02   9.6141149400E+01   -4.6699903000E+00
       9   1.0024255060E+02   9.5279455100E+01   -7.0000010000E-01
      10   9.8428341996E+01   1.0060400530E+02   -5.2879238986E+00
      11   9.6561089513E+01   1.0664827132E+02   -7.3160771050E+00
      12   9.3324257800E+01   1.0338363020E+02   -5.9342602000E+00
      13   9.1027707200E+01   1.0278884960E+02   -7.0000390000E-01
      14   9.0520270800E+01   1.0727355206E+02   -6.9999691271E-01
      15   9.2831824500E+01   9.8251832000E+01   -7.0000470000E-01
      16   9.5982877500E+01   9.4974158300E+01   -6.9997280000E-01
      17   1.0788732150E+02   8.8015062700E+01   -6.9999998808E-01
      18   9.6569189988E+01   1.0307776450E+02   -9.9360867975E+00
      19   9.5454394558E+01   1.0583034032E+02   -1.4730344042E+01
      20   9.1821199500E+01   1.0643429884E+02   -1.1363675595E+01
      21   9.3469894600E+01   1.0079737500E+02   -7.4194688000E+00
      22   9.2328336300E+01   1.0234693910E+02   -9.9861949000E+00
      23   1.0738101478E+02   9.3093063200E+01   -6.4871021629E+00
      24   1.0788732150E+02   7.6993966100E+01   -6.9999998808E-01
      25   1.0788732150E+02   8.2504732400E+01   -6.9999998808E-01
      26   1.0589923820E+02   9.4787041802E+01   -1.9589607101E+01
      27   1.0639917501E+02   9.6163542207E+01   -1.4165579303E+01
      28   1.0077247980E+02   9.8425234429E+01   -9.1563363078E+00
      29   9.6213679263E+01   1.0037950008E+02   -1.3893585073E+01
      30   9.4744427427E+01   1.0544408132E+02   -1.9332274407E+01
      31   1.0747666370E+02   7.8729526100E+01   -5.3938094299E+00
      32   9.3158196618E+01   1.0522815962E+02   -2.3362970412E+01
      33   1.0380759549E+02   8.5750666398E+01   -4.4449776695E+01
      34   9.3436379700E+01   9.8997498400E+01   -4.8835324000E+00
      35   8.6606363600E+01   1.0503207840E+02   -7.0000170000E-01
      36   1.0788732150E+02   6.5971124900E+01   -6.9999998808E-01
      37   1.0788732150E+02   7.1482763600E+01   -6.9999998808E-01
      38   1.0735095984E+02   7.2529237100E+01   -6.8306019419E+00
      39   1.0342701510E+02   7.2534512300E+01   -7.0000010000E-01
      40   1.0375941500E+02   8.4545131600E+01   -7.0000010000E-01
      41   1.0345748891E+02   7.2589704376E+01   -3.6379210807E+01
      42   1.0264727510E+02   9.2865413400E+01   -8.9576727000E+00
      43   1.0750491207E+02   8.6410871100E+01   -5.0709392015E+00
      44   1.0336329480E+02   8.8977615600E+01   -4.5190301000E+00
      45   1.0076080570E+02   8.9481398600E+01   -7.0000010000E-01
      46   1.0289662270E+02   9.3010188500E+01   -4.0503877000E+00
      47   9.8016433200E+01   9.4278302600E+01   -5.6882639000E+00
