
* Step 84
RZ           1    8771
       1    8.0867441467E+001    1.7308034322E+000   -4.9872053424E+001
       2    7.8986792752E+001    3.7334542913E+000   -5.3337928771E+001
       3    7.6041583854E+001    5.2329974096E+000   -5.0508713950E+001
       4    8.0158584777E+001   -6.5302260961E-001   -5.3377045783E+001
       5    7.9882537929E+001   -4.8784699301E+000   -5.3679931311E+001
       6    7.4344533780E+001    1.7446999606E+000   -5.4500000000E+001
       7    7.9677965544E+001    4.4698430327E+000   -4.6615735132E+001
       8    8.1088192127E+001   -5.4512274933E-001   -4.6508518789E+001
       9    7.7601494573E+001   -1.6468041585E-001   -5.0683351525E+001
      10    7.2785342316E+001    4.8354799790E+000   -5.2886521931E+001
      11    7.5713613255E+001    2.4828640376E+000   -4.7642255761E+001
      12    7.3189533796E+001    5.3726968676E+000   -4.7854992503E+001
      13    7.4668835213E+001   -2.3024552296E+000   -5.4499364199E+001
      14    8.0934603534E+001   -4.9664469736E+000   -4.9446038200E+001
      15    7.7159324458E+001   -4.9038048886E+000   -5.0823884085E+001
      16    7.5004012834E+001   -6.3368880872E+000   -5.4498395141E+001
      17    8.0823756588E+001   -8.5219480339E+000   -5.1565919432E+001
      18    7.7038406895E+001   -8.9188476825E+000   -5.1674699863E+001
      19    7.9719283816E+001   -1.1984603375E+001   -5.3811119870E+001
      20    7.2252415697E+001    1.1599149756E+000   -5.0491136349E+001
      21    6.9865908807E+001    1.9845192497E+000   -5.2922099998E+001
      22    6.9094328108E+001    2.3111957097E+000   -5.7162475108E+001
      23    7.1034371079E+001   -1.2166732372E+000   -5.6142529297E+001
      24    7.0098584851E+001   -1.6917442083E+000   -5.2659352531E+001
      25    7.0722705941E+001   -4.6742007396E+000   -5.6082756258E+001
      26    7.6305478210E+001    5.5599660287E+000   -4.4295725321E+001
      27    7.0038333014E+001    5.2521825156E+000   -5.0145920424E+001
      28    8.0911706557E+001   -1.1882955950E+001   -4.9880998484E+001
      29    8.1103359076E+001   -8.3119749188E+000   -4.6214039340E+001
      30    8.1256122258E+001   -4.6952408897E+000   -4.3292166319E+001
      31    8.1110421387E+001   -1.1780088984E+001   -4.6075568690E+001
      32    6.5113376520E+001    4.1181048820E+000   -5.7500000000E+001
      33    8.0832701862E+001   -1.5224015517E+001   -5.1391553357E+001
      34    8.1365162633E+001   -1.3094699057E+000   -4.1206637661E+001
      35    8.1042434979E+001    3.3720478278E+000   -4.0507275795E+001
      36    8.1245387574E+001    5.0522651688E-001   -3.7519584935E+001
      37    8.0895029130E+001    2.4855229183E-001   -3.0855756906E+001
      38    7.8265685621E+001    5.6460097845E+000   -4.0499565809E+001
      39    7.9950930295E+001    4.1767075394E+000   -3.3944016922E+001
      40    7.6161210327E+001    5.1836429353E+000   -2.9504082550E+001
      41    7.9383192646E+001    2.9905005898E+000   -2.6960051350E+001
      42    7.7210575417E+001    1.6368852560E+000   -4.2434197669E+001
      43    7.6058104087E+001   -2.6286878501E+000   -4.5998166671E+001
      44    7.1458570775E+001   -3.7001052096E+000   -4.9988272740E+001
      45    6.7153385432E+001    6.0558111521E+000   -5.2648123533E+001
      46    7.1478971583E+001    1.9104833503E+000   -4.6063268145E+001
      47    7.3149450962E+001    5.6846059502E+000   -4.1929061130E+001
      48    6.8573743774E+001    5.5633427099E+000   -4.6231319674E+001
      49    6.6797922909E+001    2.8145947582E+000   -4.9487051867E+001
      50    6.8225144680E+001   -4.4599552785E-001   -5.0828097994E+001
      51    6.6657012584E+001    7.1704242295E-001   -5.4202945557E+001
      52    6.5938042666E+001   -2.8454217976E+000   -5.7500000000E+001
      53    7.8012708425E+001   -1.1008203178E+001   -4.8191109580E+001
      54    7.7645948658E+001   -7.2854412864E+000   -4.8329491954E+001
      55    7.8523932270E+001   -6.8196150711E+000   -4.4873484570E+001
      56    8.1401985065E+001   -7.2287867223E+000   -4.0499087836E+001
      57    7.7297279619E+001   -3.8650403739E+000   -4.1335561255E+001
      58    7.3578128704E+001   -8.9571706153E+000   -5.0651430571E+001
      59    7.5798022677E+001   -1.1439193571E+001   -5.4497108751E+001
